"Tm","RushingYards.Att","RushingYards.Game","RushingTD.Game","Cmp.","TD.percent","Int.","Yards.Compl","QBRate","Sk.","NY.A","ANY.A","PassingYDS.G","PassingTDs.G","Tackles4Loss.G","QBHits.G","DADOT","Bltz%","Hrry%","QBKD%","Prss%","AvgFantasyPoints"
"Philadelphia Eagles",4.6,121.6,0.882352941176471,62.9,4,3.1,10.1,81.6,11.2,4.9,4.4,179.823529411765,1.29411764705882,5.70588235294118,7.29411764705882,7.2,"22.10%","7.30%","9.00%","25.50%",9.29411764705882
"New Orleans Saints",4.5,130.5,0.823529411764706,60.1,3.2,1.3,10.6,83.8,8.2,5.4,5.4,184.352941176471,1,4.52941176470588,5.11764705882353,8,"16.80%","4.80%","5.40%","17.50%",6
"New York Jets",4.2,121.6,0.823529411764706,62.4,2.7,2.2,10.2,80.5,7.5,5.4,5,189.411764705882,0.882352941176471,4.76470588235294,7.58823529411765,8.2,"14.90%","6.20%","13.70%","25.40%",7.17647058823529
"Washington Commanders",4.4,113.3,0.588235294117647,59.9,5.1,1.8,11.5,90.2,7.7,5.8,6,191.294117647059,1.52941176470588,5.17647058823529,6.29411764705882,8.4,"22.40%","4.20%","13.40%","23.10%",7.05882352941176
"Cleveland Browns",4.7,135,1.29411764705882,60.7,3.9,2.1,11.3,85.2,6.1,6,5.9,196.235294117647,1.17647058823529,4.05882352941176,3.88235294117647,7.9,"22.90%","7.60%","5.20%","18.30%",6
"Green Bay Packers",5,139.5,1.05882352941176,65.7,4.6,3.6,11.3,88.3,6.6,6.5,5.9,197,1.29411764705882,4,5.11764705882353,7.2,"32.50%","7.90%","10.50%","23.60%",6.17647058823529
"Los Angeles Chargers",5.4,145.8,1,61.4,4.8,2.8,11.9,88,7.3,6.2,6,200.352941176471,1.41176470588235,4.52941176470588,4.52941176470588,9,"31.10%","6.10%","7.50%","19.80%",5.11764705882353
"Dallas Cowboys",4.4,129.3,0.529411764705882,62.7,4.2,2.9,10.9,84.7,8.9,5.7,5.2,200.882352941176,1.35294117647059,5.47058823529412,6.47058823529412,7.8,"25.60%","8.50%","9.80%","25.60%",9
"Buffalo Bills",4.3,104.6,0.625,63.5,3.7,3,10.3,82.1,6.6,5.6,5.1,214.5625,1.3125,5.8125,6.125,7.5,"19.40%","7.20%","9.80%","22.20%",8.625
"Tampa Bay Buccaneers",4.5,120.7,0.705882352941177,63.9,5.1,1.8,10.4,92.7,7.3,5.6,5.8,203.588235294118,1.70588235294118,5.23529411764706,6.11764705882353,8.2,"28.30%","5.90%","10.20%","21.90%",5.70588235294118
"Houston Texans",5.1,170.2,1.47058823529412,64.4,2.9,3.1,11.2,82.7,7,6.3,5.6,209.294117647059,0.882352941176471,5.58823529411765,4.58823529411765,7.7,"16.00%","6.40%","8.00%","20.10%",4.58823529411765
"Indianapolis Colts",4.1,124.1,1.17647058823529,68,4.7,1.9,10.5,96.2,7.6,6.1,6.2,209.941176470588,1.47058823529412,5.35294117647059,5.29411764705882,7.1,"16.40%","8.70%","6.90%","22.00%",6.23529411764706
"Denver Broncos",4.3,109.8,0.705882352941177,64.8,3.3,2.5,9.7,83.1,5.6,5.6,5.1,210.235294117647,1.17647058823529,3.76470588235294,4.76470588235294,6.7,"32.90%","6.00%","7.80%","18.50%",6
"Seattle Seahawks",4.9,150.2,1.23529411764706,62.7,4.2,2.6,11.3,87.3,7.6,6.1,5.8,211.470588235294,1.35294117647059,4.41176470588235,5.76470588235294,8.3,"15.20%","5.40%","9.30%","20.80%",5.76470588235294
"New York Giants",5.2,144.2,0.941176470588235,61.4,3.7,1.1,11.2,89.9,6.7,6,6.2,214,1.23529411764706,4.29411764705882,6.23529411764706,8.4,"39.70%","7.50%","11.60%","24.30%",4.94117647058824
"Cincinnati Bengals",4.2,106.6,0.75,58.9,3,2.3,11.6,80.1,5.1,6.2,5.8,229.0625,1.0625,3.5625,6.375,8.7,"20.40%","6.30%","12.20%","22.40%",6.25
"New England Patriots",4.1,105.5,0.411764705882353,61.1,4.7,3.2,11.1,83.5,8.3,5.7,5.2,216.529411764706,1.64705882352941,4.23529411764706,5.47058823529412,8.8,"21.90%","10.80%","6.00%","24.10%",10.1764705882353
"Chicago Bears",4.9,157.3,1.82352941176471,67.2,4.6,2.9,11.9,94.4,4,7.4,7,218.588235294118,1.29411764705882,3.94117647058824,2.52941176470588,7.8,"18.20%","8.40%","4.20%","15.90%",1.88235294117647
